candidate_id,label,feature_count,validation_strategy,eval_threshold,roc_auc,pr_auc,precision,recall,f1_score,specificity,accuracy,false_positive_rate,false_negative_rate,brier_score,ece,true_negatives,false_positives,false_negatives,true_positives
Candidate_A_RF_Leakage_Free,RF-LEAKAGE-FREE-BASELINE,7,Locked_2024_2025_Holdout_DefaultThresh,0.5,0.9197,0.9332,0.83,0.8192,0.8246,0.8322,0.8257,0.1678,0.1808,0.1195,0.0624,709,143,154,698
Candidate_A_RF_Leakage_Free,RF-LEAKAGE-FREE-BASELINE,7,Locked_2024_2025_Holdout_SelectedThresh,0.4,0.9197,0.9332,0.7766,0.8732,0.8221,0.7488,0.811,0.2512,0.1268,0.1195,0.0624,638,214,108,744
Candidate_A_RF_Leakage_Free,RF-LEAKAGE-FREE-BASELINE,7,Internal_Rolling_Fold_1,0.5,0.9407,0.937,0.8235,0.9032,0.8615,0.8065,0.8548,0.1935,0.0968,0.1065,0.1029,25,6,3,28
Candidate_A_RF_Leakage_Free,RF-LEAKAGE-FREE-BASELINE,7,Internal_Rolling_Fold_2,0.5,0.8294,0.8677,0.8889,0.6957,0.7805,0.913,0.8043,0.087,0.3043,0.1673,0.1647,42,4,14,32
Candidate_A_RF_Leakage_Free,RF-LEAKAGE-FREE-BASELINE,7,Internal_Rolling_Fold_3,0.5,0.5702,0.6648,0.7692,0.2857,0.4167,0.9143,0.6,0.0857,0.7143,0.2745,0.1986,32,3,25,10
Candidate_A_RF_Leakage_Free,RF-LEAKAGE-FREE-BASELINE,7,Location_Group_5Fold_CV,0.5,0.9644,0.9669,0.9173,0.8897,0.9033,0.9198,0.9047,0.0802,0.1103,0.0722,0.0252,1009,88,121,976
Candidate_A_RF_Leakage_Free,RF-LEAKAGE-FREE-BASELINE,7,District_Group_5Fold_CV,0.5,0.9347,0.9403,0.8888,0.8013,0.8428,0.8997,0.8505,0.1003,0.1987,0.1022,0.0276,987,110,218,879
Candidate_B_RF_Terrain,RF-TERRAIN-ENHANCED,13,Locked_2024_2025_Holdout_DefaultThresh,0.5,0.9123,0.9204,0.831,0.8192,0.8251,0.8333,0.8263,0.1667,0.1808,0.1228,0.0613,710,142,154,698
Candidate_B_RF_Terrain,RF-TERRAIN-ENHANCED,13,Locked_2024_2025_Holdout_SelectedThresh,0.4,0.9123,0.9204,0.7769,0.8826,0.8264,0.7465,0.8146,0.2535,0.1174,0.1228,0.0613,636,216,100,752
Candidate_B_RF_Terrain,RF-TERRAIN-ENHANCED,13,Internal_Rolling_Fold_1,0.5,0.9417,0.9264,0.8056,0.9355,0.8657,0.7742,0.8548,0.2258,0.0645,0.1067,0.1011,24,7,2,29
Candidate_B_RF_Terrain,RF-TERRAIN-ENHANCED,13,Internal_Rolling_Fold_2,0.5,0.8374,0.868,0.8889,0.6957,0.7805,0.913,0.8043,0.087,0.3043,0.1603,0.1218,42,4,14,32
Candidate_B_RF_Terrain,RF-TERRAIN-ENHANCED,13,Internal_Rolling_Fold_3,0.5,0.6318,0.7024,0.8125,0.3714,0.5098,0.9143,0.6429,0.0857,0.6286,0.2431,0.1206,32,3,22,13
Candidate_B_RF_Terrain,RF-TERRAIN-ENHANCED,13,Location_Group_5Fold_CV,0.5,0.9608,0.963,0.9156,0.8797,0.8973,0.9189,0.8993,0.0811,0.1203,0.0773,0.0351,1008,89,132,965
Candidate_B_RF_Terrain,RF-TERRAIN-ENHANCED,13,District_Group_5Fold_CV,0.5,0.9329,0.9398,0.8856,0.7976,0.8393,0.897,0.8473,0.103,0.2024,0.1038,0.034,984,113,222,875
Candidate_C_RF_Inventory,RF-TERRAIN-INVENTORY-ENHANCED,15,Locked_2024_2025_Holdout_DefaultThresh,0.5,0.8938,0.8965,0.8175,0.8204,0.819,0.8169,0.8187,0.1831,0.1796,0.1332,0.0914,696,156,153,699
Candidate_C_RF_Inventory,RF-TERRAIN-INVENTORY-ENHANCED,15,Locked_2024_2025_Holdout_SelectedThresh,0.4,0.8938,0.8965,0.753,0.8697,0.8072,0.7148,0.7923,0.2852,0.1303,0.1332,0.0914,609,243,111,741
Candidate_C_RF_Inventory,RF-TERRAIN-INVENTORY-ENHANCED,15,Internal_Rolling_Fold_1,0.5,0.9563,0.9658,0.8056,0.9355,0.8657,0.7742,0.8548,0.2258,0.0645,0.1041,0.1028,24,7,2,29
Candidate_C_RF_Inventory,RF-TERRAIN-INVENTORY-ENHANCED,15,Internal_Rolling_Fold_2,0.5,0.8256,0.8657,0.8649,0.6957,0.7711,0.8913,0.7935,0.1087,0.3043,0.161,0.1422,41,5,14,32
Candidate_C_RF_Inventory,RF-TERRAIN-INVENTORY-ENHANCED,15,Internal_Rolling_Fold_3,0.5,0.6367,0.6923,0.8125,0.3714,0.5098,0.9143,0.6429,0.0857,0.6286,0.2418,0.1134,32,3,22,13
Candidate_C_RF_Inventory,RF-TERRAIN-INVENTORY-ENHANCED,15,Location_Group_5Fold_CV,0.5,0.9647,0.9677,0.9155,0.8988,0.9071,0.917,0.9079,0.083,0.1012,0.0735,0.0403,1006,91,111,986
Candidate_C_RF_Inventory,RF-TERRAIN-INVENTORY-ENHANCED,15,District_Group_5Fold_CV,0.5,0.91,0.8977,0.8937,0.7894,0.8383,0.9061,0.8478,0.0939,0.2106,0.1343,0.0957,994,103,231,866
Candidate_D_HistGB_Prod,HistGB-LEAKAGE-FREE-BASELINE,7,Locked_2024_2025_Holdout_DefaultThresh,0.5,0.9013,0.9208,0.7613,0.8533,0.8046,0.7324,0.7928,0.2676,0.1467,0.1472,0.0999,624,228,125,727
