candidate_id,label,feature_count,validation_strategy,eval_threshold,roc_auc,pr_auc,precision,recall,f1_score,specificity,accuracy,false_positive_rate,false_negative_rate,brier_score,ece,true_negatives,false_positives,false_negatives,true_positives
Candidate_D_HistGB_Prod,HistGB-LEAKAGE-FREE-BASELINE,7,Locked_2024_2025_Holdout_SelectedThresh,0.4,0.9013,0.9208,0.7227,0.8779,0.7928,0.6631,0.7705,0.3369,0.1221,0.1472,0.0999,565,287,104,748
Candidate_D_HistGB_Prod,HistGB-LEAKAGE-FREE-BASELINE,7,Internal_Rolling_Fold_1,0.5,0.9095,0.9093,0.8,0.9032,0.8485,0.7742,0.8387,0.2258,0.0968,0.1253,0.1293,24,7,3,28
Candidate_D_HistGB_Prod,HistGB-LEAKAGE-FREE-BASELINE,7,Internal_Rolling_Fold_2,0.5,0.8355,0.8803,0.8857,0.6739,0.7654,0.913,0.7935,0.087,0.3261,0.1757,0.1775,42,4,15,31
Candidate_D_HistGB_Prod,HistGB-LEAKAGE-FREE-BASELINE,7,Internal_Rolling_Fold_3,0.5,0.5498,0.6589,0.6538,0.4857,0.5574,0.7429,0.6143,0.2571,0.5143,0.3135,0.2561,26,9,18,17
Candidate_D_HistGB_Prod,HistGB-LEAKAGE-FREE-BASELINE,7,Location_Group_5Fold_CV,0.5,0.9595,0.9614,0.9018,0.8961,0.8989,0.9025,0.8993,0.0975,0.1039,0.0766,0.0383,990,107,114,983
Candidate_D_HistGB_Prod,HistGB-LEAKAGE-FREE-BASELINE,7,District_Group_5Fold_CV,0.5,0.9225,0.9312,0.8315,0.8277,0.8296,0.8323,0.83,0.1677,0.1723,0.121,0.0774,913,184,189,908
Diagnostic_RF_NoGeo,RF-NO-GEO-DIAGNOSTIC,5,Locked_2024_2025_Holdout_DefaultThresh,0.5,0.9236,0.9328,0.8219,0.8122,0.817,0.8239,0.8181,0.1761,0.1878,0.1154,0.0446,702,150,160,692
Diagnostic_RF_NoGeo,RF-NO-GEO-DIAGNOSTIC,5,Locked_2024_2025_Holdout_SelectedThresh,0.4,0.9236,0.9328,0.7788,0.8803,0.8264,0.75,0.8151,0.25,0.1197,0.1154,0.0446,639,213,102,750
Diagnostic_RF_NoGeo,RF-NO-GEO-DIAGNOSTIC,5,Internal_Rolling_Fold_1,0.5,0.9063,0.8969,0.8235,0.9032,0.8615,0.8065,0.8548,0.1935,0.0968,0.1222,0.1133,25,6,3,28
Diagnostic_RF_NoGeo,RF-NO-GEO-DIAGNOSTIC,5,Internal_Rolling_Fold_2,0.5,0.7831,0.8445,0.8611,0.6739,0.7561,0.8913,0.7826,0.1087,0.3261,0.1891,0.1549,41,5,15,31
Diagnostic_RF_NoGeo,RF-NO-GEO-DIAGNOSTIC,5,Internal_Rolling_Fold_3,0.5,0.6698,0.7198,0.7778,0.4,0.5283,0.8857,0.6429,0.1143,0.6,0.2459,0.1649,31,4,21,14
Diagnostic_RF_NoGeo,RF-NO-GEO-DIAGNOSTIC,5,Location_Group_5Fold_CV,0.5,0.95,0.9544,0.8776,0.8624,0.8699,0.8797,0.871,0.1203,0.1376,0.0881,0.0131,965,132,151,946
Diagnostic_RF_NoGeo,RF-NO-GEO-DIAGNOSTIC,5,District_Group_5Fold_CV,0.5,0.9104,0.9165,0.8587,0.7366,0.7929,0.8788,0.8077,0.1212,0.2634,0.1221,0.0501,964,133,289,808
